descr,bitcoin-cash,dogecoin,z,x_dif,y_dif,trade_pnl,date,cumulative_pnl
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-20,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-21,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-22,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-23,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-24,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-25,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-26,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-27,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-28,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-29,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-04-30,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-01,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-02,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-03,1.0340416828358912
long,463.0556945800781,0.15995477139949799,-0.5119256973266602,-0.1338015843131488,-0.08494429901596236,0.0,2024-05-04,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-05,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-06,1.0340416828358912
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-07,1.0340416828358912
close long,471.28857421875,0.15025554597377777,0.12294559180736542,0.017779458788727043,-0.06063729978704878,0.07841675857577582,2024-05-08,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-09,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-10,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-11,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-12,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-13,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-14,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-15,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-16,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-17,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-18,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-19,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-20,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-21,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-22,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-23,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-24,1.112458441411667
long,493.3718566894531,0.172899067401886,-0.6262672543525696,0.046857241356445666,0.1507000708783149,0.0,2024-05-25,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-26,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-27,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-28,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-29,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-30,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-05-31,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-01,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-02,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-03,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-04,1.112458441411667
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-05,1.112458441411667
close long,495.6004943847656,0.16016794741153717,0.043588485568761826,0.004517156106687473,-0.07363324847066205,0.07815040457734952,2024-06-06,1.1906088459890165
,0.0,0.0,0.0,0.0,0.0,0.0,2024-06-07,1.1906088459890165
